protocol_number,criterion_type,criterion_text,category,is_required,sort_order,parsed_json,created_at,updated_at
VBE00001,inclusion,"I03: Clinical diagnosis of moderate or severe facial acne vulgaris with: • IGA score of Moderate or Severe (grade 3 or grade 4 on the 5-grade IGA scale) AND • ≥ 25 non-inflammatory lesions (ie, open and closed comedones) AND • ≥ 20 inflammatory lesions (ie, papules and pustules) AND • ≤ 2 nodulocystic lesions (ie, nodules and cysts)",disease_specific,f,0,,2025-07-24 22:04:50.147237,2025-07-25 16:15:06.522075
VBE00001,inclusion,"I04: A female participant is eligible to participate if she is not pregnant or breastfeeding and one of the following conditions appliesb: • Is of non-childbearing potential. To be considered of non-childbearing potential, a female must be post-menopausal for at least 1 year, or surgically sterile OR • Is of childbearing potential and agrees to use an effective contraceptive methodc or abstinence from at least 4 weeks prior to the first study intervention administration until at least 4 weeks after the last study intervention administration A female participant of childbearing potential must have a negative highly sensitive pregnancy test (urine or serum as required by local regulation) before the first study intervention administration",demographics,f,0,,2025-07-24 22:04:50.184869,2025-07-25 16:15:08.861956
VBE00001,inclusion,I05: Informed consent form has been signed and dateda,study_procedures,f,0,,2025-07-24 22:04:50.222203,2025-07-25 16:15:10.83772
VBE00001,inclusion,I06: Able to attend all scheduled visits and to comply with all study procedures,study_procedures,f,0,,2025-07-24 22:04:50.258419,2025-07-25 16:15:12.719822
VBE00001,inclusion,I07: Refrain from use of any other acne treatments for the duration of the study (pre-specified non-medicated cleansers and sunscreen will be allowedb),disease_specific,t,0,,2025-07-24 22:04:50.296129,2025-07-24 22:04:50.296129
VBE00001,exclusion,"E01: Known or suspected congenital or acquired immunodeficiency; or receipt of immunosuppressive therapy, such as anti-cancer chemotherapy or radiation therapy, within 6 months prior to the first study intervention administration; or long-term systemic corticosteroid therapy (prednisone or equivalent for more than 2 consecutive weeks within the past 3 months)",laboratory,f,0,,2025-07-24 22:04:50.331957,2025-07-25 16:15:34.46955
VBE00001,exclusion,"E02: Known systemic hypersensitivity to any of the study intervention components (eg, polyethylene glycol [PEG], polysorbate); history of a life-threatening reaction to the study interventions used in the study or to a product containing any of the same substancesc; any allergic reaction (eg, anaphylaxis) after administration of mRNA coronavirus disease 2019 (COVID-19) vaccine",disease_specific,t,0,,2025-07-24 22:04:50.37548,2025-07-24 22:04:50.37548
VBE00001,exclusion,E03: Previous history of myocarditis and/or pericarditis and/or myopericarditis,medical_history,t,0,,2025-07-24 22:04:50.411584,2025-07-24 22:04:50.411584
VBE00001,exclusion,"E04: Chronic illness that, in the opinion of the investigator, is at a stage where it might interfere with study conduct or completion",demographics,f,0,,2025-07-24 22:04:50.454407,2025-07-25 16:15:38.73785
VBE00001,exclusion,"E05: Thrombocytopenia, bleeding disorder, or receipt of anticoagulants contraindicating intramuscular injection based on investigator’s judgement",laboratory,f,0,,2025-07-24 22:04:50.492513,2025-07-25 16:15:39.940987
VBE00001,exclusion,"E06: Active nodulocystic acne, acne conglobate, acne fulminans, secondary acne (eg, chloracne, drug-induced acne) or other forms of acne (eg, acne mechanica)",disease_specific,f,0,,2025-07-24 22:04:50.533365,2025-07-25 16:15:42.723176
VBE00001,exclusion,"E07: Skin pathology or condition that, in the investigator’s opinion, could interfere with the evaluation of the study intervention or requires use of interfering topical, systemic, or surgical therapya",disease_specific,f,0,,2025-07-24 22:04:50.569354,2025-07-25 16:15:48.896278
VBE00001,exclusion,"E08: Excessive facial hair, facial tattoos, facial skin disorders, skin reactions that may interfere with the study assessments in the investigator’s opinion (including – but not limited to – actinic keratosis, eczema, psoriasis, seborrheic dermatitis, rosacea, acute or recent sunburn) or skin infection",disease_specific,f,0,,2025-07-24 22:04:50.612172,2025-07-25 16:15:53.926505
VBE00001,exclusion,"E09: Alcohol, prescription drug, or substance abuse that, in the opinion of the investigator, might interfere with the study conduct or completion",laboratory,f,0,,2025-07-24 22:04:50.6462,2025-07-25 16:15:55.621465
VBE00001,exclusion,E10: Start or switch of hormonal contraceptive use within 12 weeks prior to the first study intervention administration or plans to initiate or switch hormonal contraceptive products during the study periodb,demographics,t,0,,2025-07-24 22:04:50.681562,2025-07-24 22:04:50.681562
VBE00001,exclusion,E11: Previous use of oral isotretinoin,medical_history,f,0,,2025-07-24 22:04:50.715987,2025-07-25 16:16:00.491716
VBE00001,exclusion,E12: Use of any acne-affecting treatment without an appropriate washout period. Participants receiving prohibited medications/therapies at Screening Visit will have to observe a washout period of 2 weeks to 24 weeks before enrolment (as specified in the table below) to preserve eligibility in the study.,disease_specific,f,0,,2025-07-24 22:04:50.75133,2025-07-25 16:16:03.432624
VBE00001,exclusion,E13: Receipt of any vaccine (other than the study vaccine) in the 4 weeks preceding any study intervention administration or planned receipt of any vaccine (other than the study vaccine) in the 4 weeks following any study intervention administration,laboratory,t,0,,2025-07-24 22:04:50.787221,2025-07-24 22:04:50.787221
VBE00001,exclusion,E14: Receipt of any mRNA vaccine in the 60 days preceding any study intervention administration or planned receipt of any mRNA vaccine in the 60 days following any study intervention administration,laboratory,f,0,,2025-07-24 22:04:50.824435,2025-07-25 16:16:11.712794
VBE00001,exclusion,E15: Previous vaccination against C. acnes with an investigational vaccine,disease_specific,f,0,,2025-07-24 22:04:50.86163,2025-07-25 16:16:19.446528
VBE00001,exclusion,"E16: Receipt of immune globulins, blood or blood-derived products in the past 3 months",laboratory,f,0,,2025-07-24 22:04:50.899743,2025-07-25 16:16:22.509308
VBE00001,exclusion,"E17: Self-reported or documented seropositivity for human immunodeficiency virus (HIV), hepatitis B virus, or hepatitis C virus",general,f,0,,2025-07-24 22:04:50.95186,2025-07-25 16:16:23.772672
VBE00001,exclusion,"E18: Participation at the time of study enrollment (or in the 4 weeks preceding the first study intervention administration) or planned participation during the present study period in another clinical study investigating a vaccine, drug, medical device, or medical procedure",medications,f,0,,2025-07-24 22:04:50.993799,2025-07-25 16:16:26.235845
VBE00001,exclusion,E19: Planned participation in strenuous or endurance exercise up to D08 after any study intervention administrationa,medications,f,0,,2025-07-24 22:04:51.031512,2025-07-25 16:16:28.382396
VBE00001,exclusion,"E20: Deprived of freedom by an administrative or court order, or in an emergency setting, or hospitalized involuntarily",general,f,0,,2025-07-24 22:04:51.070942,2025-07-25 16:16:34.792626
VBE00001,exclusion,"E21: Identified as an investigator or employee of the investigator or study center with direct involvement in the proposed study, or identified as an immediate family member (ie, parent, spouse, natural or adopted child) of the investigator or employee with direct involvement in the proposed study",laboratory,f,0,,2025-07-24 22:04:51.107454,2025-07-25 16:16:35.862099
VBE00001,exclusion,E22: Moderate or severe acute illness/infection (according to investigator judgment) or febrile illness (temperature ≥ 38.0°C [≥ 100.4°F]) on the day of study intervention administration. A prospective participant should not be included in the study until the condition has resolved or the febrile event has subsided,disease_specific,f,0,,2025-07-24 22:04:51.147444,2025-07-25 16:18:29.23077
VBE00001,exclusion,"E23: Chronic illness that, in the opinion of the investigator, is at a stage where it might interfere with study conduct or completion.",demographics,f,0,,2025-07-24 22:04:51.182615,2025-07-25 16:18:26.975738
VBE00001,exclusion,"E24: Participants with a screening electrocardiogram that is consistent with possible myocarditis, pericarditis, and/or myopericarditis or, in the opinion of the investigator, demonstrates clinically relevant abnormalities that may affect participant safety or study results",safety,f,0,,2025-07-24 22:04:51.222621,2025-07-25 16:18:31.163224
VBE00001,exclusion,E25: Any screening laboratory parameter with laboratory abnormalities that are Grade 2 or above or deemed clinically significant in the opinion of the investigator,laboratory,f,0,,2025-07-24 22:04:51.258857,2025-07-25 16:18:32.217357
